St. Andrews Construction Services,0014x00000cw5oeAAA,0014x00000cw5oe,Electrical,Electrical,Electrical,"$15,000,000 ",Less than $25M,"$23,168","$32,736","$172,304","$102,574","$1,325,548","$289,720","$60,920","$72,545","$353,383","$53,845","$84,437","$104,024","$35,628","$229,250","$41,710",-82%,"-$187,540",
Advanced Cable Systems,0014x00000cw7c5AAA,0014x00000cw7c5,Electrical,,Electrical,"$3,000,000 ",Less than $25M,,,,"$8,994",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,$0,
Sprint Electrical Service,0014x00000cw7FJAAY,0014x00000cw7FJ,Electrical,Electrical,Electrical,"$5,000,000 ",Less than $25M,"$1,338",$668,$0,$0,$720,$0,$0,$0,"$18,228",$0,$0,$0,$0,$0,$0,#DIV/0!,$0,
"N & S Electric, Inc.",0014x00000cw8U8AAI,0014x00000cw8U8,Electrical,Electrical,Electrical,"$5,000,000 ",Less than $25M,"$603,700","$54,977","$114,256","$145,825","$31,426","$147,022","$34,504","$1,464,091","$227,567","$75,100","$61,341","$44,336","$62,853","$70,233","$78,035",11%,"$7,802",
"Hobbs & Company, Inc.",0014x00000cw8VLAAY,0014x00000cw8VL,Electrical,Electrical,Electrical,"$18,000,000 ",Less than $25M,"$139,045","$1,187,590","$483,158","$1,128,938","$385,558","$321,981","$57,606","$1,339,871","$557,970","$292,836","$502,340","$238,303","$24,274","$500,102","$555,057",11%,"$54,954",
"Gold Star Electric, Inc.",0014x00000cw9QnAAI,0014x00000cw9Qn,Electrical,Electrical,Electrical,"$2,970,000 ",Less than $25M,"$75,144","$86,698","$149,032","$54,821","$42,557","$905,557","$85,721","$49,879","$55,977","$88,001","$196,363","$166,187","$92,552","$151,169","$69,626",-54%,"-$81,543",
Champion Electrical Contracting LLC,0014x00000cwADvAAM,0014x00000cwADv,Electrical,Electrical,Electrical,"$9,024,000 ",Less than $25M,"$67,129","$35,134","$80,612","$93,895","$169,514","$34,523","$117,617","$590,178","$174,375","$642,000","$108,748","$714,333","$557,732","$85,905","$79,736",-7%,"-$6,169",
Florida Industrial Electric & All Electric Services,0014x00000cwBKaAAM,0014x00000cwBKa,Electrical,Electrical,Electrical,"$10,000,000 ",Less than $25M,"$89,021","$153,347","$35,933","$89,289","$80,653","$173,663","$92,900","$109,788","$208,913","$304,305","$213,606","$173,841","$81,081","$34,568","$25,509",-26%,"-$9,059",
Yager Electric,0014x00000cwBl8AAE,0014x00000cwBl8,Electrical,Electrical,Electrical,"$6,500,000 ",Less than $25M,"$129,976","$487,422","$80,565","$104,475","$88,168","$70,257","$86,492","$93,794","$118,027","$195,916","$102,310","$97,619","$85,622","$386,342","$74,552",-81%,"-$311,790",
Empowered Electric,0014x00000cwCieAAE,0014x00000cwCie,Electrical,Electrical,Electrical,"$15,000,000 ",Less than $25M,"$129,291","$560,170","$1,097,890","$488,400","$356,318","$254,511","$206,661","$3,513,847","$1,424,809","$1,124,276","$505,991","$1,083,789","$249,314","$99,877","$238,829",139%,"$138,953",
Walter J Barnes Electric Co Inc,0014x00000cwCivAAE,0014x00000cwCiv,Electrical,Electrical,Electrical,"$24,000,000 ",Less than $25M,"$367,134","$1,317,478","$470,128","$549,042","$646,268","$374,180","$524,520","$269,731","$566,221","$708,490","$457,082","$724,750","$324,627","$364,592","$2,103,303",477%,"$1,738,711",
"Kaough & Jones Electric, Inc.",0014x00000cwCs4AAE,0014x00000cwCs4,Electrical,Electrical,Electrical,,Less than $25M,"$171,276","$314,789","$224,538","$149,030","$579,970","$260,487","$397,591","$254,709","$372,078","$273,123","$382,120","$114,298","$97,780","$275,260","$43,562",-84%,"-$231,697",
MD Electric Company,0014x00000cwCwuAAE,0014x00000cwCwu,Electrical,Electrical,Electrical,"$14,000,000 ",Less than $25M,"$122,102","$135,864","$193,973","$176,596","$195,050","$1,417,800","$427,406","$213,553","$142,812","$447,855","$202,823","$219,448","$74,890","$85,531","$97,821",14%,"$12,290",
"Payne Electric Co., Inc.",0014x00000cwD33AAE,0014x00000cwD33,Electrical,Electrical,Electrical,"$40,000,000 ",$25M-$100M,"$30,238","$31,148","$272,335","$118,895","$19,131","$21,769","$22,905","$30,128","$4,468","$161,856","$59,050","$13,620","$18,198","$6,315","$11,272",79%,"$4,958",
MelKay,0014x00000cwD3JAAU,0014x00000cwD3J,Electrical,Electrical,Electrical,"$100,000,000 ",$100M-$500M,"$622,938","$2,464,649","$698,205","$1,374,982","$1,038,661","$536,960","$750,730","$1,561,816","$1,504,066","$622,473","$932,248","$270,538","$1,797,151","$2,030,315","$1,159,545",-43%,"-$870,771",
"Murphy Electric, Inc.",0014x00000cwDdrAAE,0014x00000cwDdr,Electrical,Electrical,Electrical,"$12,000,000 ",Less than $25M,"$166,822","$144,346","$146,792","$642,378","$117,352","$88,982","$68,258","$70,631","$123,578","$110,127","$216,288","$238,178","$304,430","$313,428","$265,573",-15%,"-$47,855",
"ADK Electric, Inc.",0014x00000cwDeFAAU,0014x00000cwDeF,Electrical,Electrical,Electrical,"$22,000,000 ",Less than $25M,"$782,332","$443,432","$1,068,544","$290,137","$208,061","$250,393","$491,868","$2,857,948","$294,596","$405,177","$199,623","$1,433,120","$330,065","$372,408","$639,885",72%,"$267,477",
C.M. Armitage Electrical Contracting Inc.,0014x00000cwDPvAAM,0014x00000cwDPv,Electrical,Electrical,Electrical,"$8,000,000 ",Less than $25M,"$29,945","$6,575","$5,067","$3,430","$1,905","$4,112","$8,756","$19,273","$8,210","$40,957","$18,332","$46,704","$2,392","$35,419","$54,996",55%,"$19,576",
"Connors - Haas, Inc.",0014x00000cwDQ1AAM,0014x00000cwDQ1,Electrical,Electrical,Electrical,"$10,000,000 ",Less than $25M,"$56,626","$50,018","$825,102","$107,101","$104,922","$246,545","$173,679","$99,845","$80,162","$88,469","$106,648","$58,652","$47,752","$59,789","$87,950",47%,"$28,161",
Volta Systems Group,0014x00000cwEEfAAM,0014x00000cwEEf,Electrical,Electrical,Electrical,"$20,000,000 ",Less than $25M,"$409,061","$539,866","$162,097","$490,703","$145,966","$285,692","$274,774","$365,218","$305,359","$346,071","$260,134","$1,131,541","$300,166","$170,760","$155,797",-9%,"-$14,963",
Innovolt Electric,0014x00000cwElVAAU,0014x00000cwElV,Electrical,Electrical,Electrical,"$6,000,000 ",Less than $25M,"$159,411","$109,461","$186,061","$118,853","$86,586","$91,984","$72,745","$80,922","$37,032","$87,993","$40,006","$65,194","$133,394","$27,649","$87,203",215%,"$59,554",
C.B. Mills Electric,0014x00000cwEMsAAM,0014x00000cwEMs,Electrical,Electrical,Electrical,"$15,000,000 ",Less than $25M,"$2,828","$21,363","$21,870","$38,732","$36,547","$30,943","$31,943","$54,609","$58,521","$50,838","$17,444","$86,506","$283,560","$88,600","$43,925",-50%,"-$44,675",
"Hage Electric & Construction Svcs., Inc.",0014x00000cwENMAA2,0014x00000cwENM,Electrical,Electrical,Electrical,"$3,609,000 ",Less than $25M,$0,"$128,709","$168,251","$142,290","$27,252","$58,463","$57,600","$65,245",$0,$0,$0,$0,$0,$0,$0,#DIV/0!,$0,
WB Moore Company,0014x00000cwETGAA2,0014x00000cwETG,Electrical,Electrical,Electrical,"$30,000,000 ",$25M-$100M,"$278,089","$1,863,869","$1,413,068","$535,788","$327,581","$617,952","$334,080","$400,390","$280,721","$382,554","$535,042","$517,627","$2,366,391","$176,687","$239,407",35%,"$62,720",
"Moonlite Electric & Construction, Inc.",0014x00000cwF3GAAU,0014x00000cwF3G,Electrical,Electrical,Electrical,"$17,000,000 ",Less than $25M,$0,"$33,938","$316,504","$619,267","$267,190","$220,028","$336,949","$354,265","$286,338","$451,103","$313,587","$277,020",$0,$0,$0,#DIV/0!,$0,
Bryan Electric Inc.,0014x00000cwFauAAE,0014x00000cwFau,Electrical,Electrical,Electrical,"$10,000,000 ",Less than $25M,"$601,330","$112,585","$219,336","$168,294","$105,339","$172,233","$205,468","$66,491","$109,659",$0,$0,$0,$0,$0,$0,#DIV/0!,$0,
"Chammings Electric, Inc.",0014x00000cwFKzAAM,0014x00000cwFKz,Electrical,Electrical,Electrical,"$12,500,000 ",Less than $25M,"$188,772","$137,230","$102,858","$269,275","$966,595","$445,490","$217,855","$329,889","$245,388","$108,406","$96,468","$409,938","$147,839","$53,859","$112,129",108%,"$58,270",
"Liberty Integrated Solutions, Inc.",0014x00000cwG1WAAU,0014x00000cwG1W,Electrical,Electrical,Electrical,"$18,000,000 ",Less than $25M,$0,"$242,117","$238,036","$356,602","$658,977","$595,873","$675,504","$484,428","$486,816","$296,640","$10,718","$127,985","$51,003","$47,371",$986,-98%,"-$46,386",
Arco Electric,0014x00000cwHqoAAE,0014x00000cwHqo,Electrical,Electrical,Electrical,"$15,652,000 ",Less than $25M,"$43,916","$53,207","$665,596","$90,765","$90,717","$265,831","$351,681","$85,350","$128,879","$31,738",$0,$0,$0,$0,$0,#DIV/0!,$0,
"E. C. Tucker Electric, Inc.",0014x00000cwHvuAAE,0014x00000cwHvu,Electrical,Electrical,Electrical,"$10,000,000 ",Less than $25M,"$270,296","$114,846","$149,034","$300,364","$219,146","$236,461","$250,144",$0,"$229,996","$361,071","$317,718","$133,947","$65,594","$67,075","$55,811",-17%,"-$11,263",
"Disher Electric, Inc.",0014x00000cwHYiAAM,0014x00000cwHYi,Electrical,Electrical,Electrical,"$5,000,000 ",Less than $25M,"$5,610",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,$0,
Superior Electric of Lansing,0014x00000cwIr6AAE,0014x00000cwIr6,Electrical,Electrical,Electrical,"$25,670,200 ",$25M-$100M,"$1,525,415","$613,107","$1,466,751","$1,110,546","$1,168,322","$1,268,912","$476,370","$234,031","$18,730",$0,$0,"$8,890",$0,$0,$0,#DIV/0!,$0,
1901 Inc.,0014x00000cwvu5AAA,0014x00000cwvu5,Mechanical,Mechanical,Mechanical,"$11,962,000 ",Less than $25M,"$652,341.48","$142,342.99","$249,151.88","$206,331.46","$207,524.40","$182,836.99","$199,377.29","$277,015.58","$356,954.35","$438,997","$455,349","$409,094","$475,570","$723,700","$1,875,547",159%,"$1,151,847",
"Coastal Electric Of Georgia, Inc. (Savannah)",0014x00000cwvu6AAA,0014x00000cwvu6,Electrical,Electrical,Electrical,"$12,000,000 ",Less than $25M,"$165,289","$221,940","$491,044","$310,837","$361,445","$213,097","$211,065","$94,933","$220,827","$257,954","$74,389","$189,031","$394,951","$176,122","$365,577",108%,"$189,455",
